City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Hambantota,LK,6.1241,81.1185,84.54,84,40,9.22,scattered clouds
319,Sorland,NO,67.667,12.6934,31.86,58,100,26.02,light snow
320,Wenling,CN,28.3669,121.36,47.91,94,100,7.72,overcast clouds
321,Viedma,AR,-40.8135,-62.9967,57.88,53,100,5.91,overcast clouds
322,Sulangan,PH,11.1373,123.7228,80.1,82,100,20.96,overcast clouds
323,High Level,CA,58.5169,-117.136,2.82,88,100,12.17,overcast clouds
324,Nizhniy Baskunchak,RU,48.2198,46.8311,34.68,92,98,14.36,overcast clouds
325,Aranos,NA,-24.1333,19.1167,78.78,45,74,3.27,broken clouds
326,Starkville,US,33.4504,-88.8184,46.78,63,0,8.01,clear sky
327,Leningradskiy,RU,69.3833,178.4167,-26.66,95,86,4.43,overcast clouds
328,Nandurbar,IN,21.3667,74.25,80.76,19,6,9.19,clear sky
329,Kahului,US,20.8947,-156.47,73.85,78,0,4.0,clear sky
330,Baiyin,CN,36.5583,104.2081,33.04,63,78,7.11,broken clouds
331,Joao Pinheiro,BR,-17.7425,-46.1725,66.65,94,100,2.82,overcast clouds
332,Rasskazovo,RU,52.6714,41.9033,29.01,95,100,9.06,light snow
333,Hervey Bay,AU,-25.2986,152.8535,80.04,61,0,21.54,clear sky
334,Thessalon,CA,46.2501,-83.5666,25.56,93,100,12.73,light snow
335,Kichera,RU,55.9375,110.0997,-3.26,90,81,1.25,broken clouds
336,Gboko,NG,7.3179,8.9951,80.17,10,5,14.09,clear sky
337,Micheweni,TZ,-4.9667,39.8333,82.13,70,85,12.71,overcast clouds
338,Haysville,US,37.5645,-97.3523,48.58,52,0,14.97,clear sky
339,Tura,IN,25.5198,90.2201,71.71,41,0,7.47,clear sky
340,Natal,BR,-5.795,-35.2094,74.05,94,20,4.61,few clouds
341,Seoul,KR,37.5683,126.9778,49.39,40,100,5.35,overcast clouds
342,Takab,IR,36.4009,47.1133,33.03,94,99,6.71,light snow
343,Djibo,BF,14.1022,-1.6306,68.81,10,0,14.2,clear sky
